kind,name,line,dimen_or_index,within_or_default,has_derivation,already_loaded,references_variables,references,complexity,body_chars
set,overlap,250,5,,False,True,False,,data_loaded,0
set,block_dtttdt,255,7,,False,True,False,,data_loaded,0
set,block__period__time_first,262,3,,False,True,False,,data_loaded,0
set,block__period__time_last,266,3,,False,True,False,,data_loaded,0
set,block,267,,,True,False,False,"block__period__step,node__block,overlap,process__block,process__side__block",multi_clause,314
set,node__profile__profile_method,275,3,"{node,profile,profile_method}",False,True,False,,data_loaded,0
set,group_node,277,2,"{group, node}",False,True,False,,data_loaded,0
set,group_process,278,2,"{group, process}",False,True,False,,data_loaded,0
set,group_process_node,279,3,"{group, process, node}",False,True,False,,data_loaded,0
set,group_entity,280,,,True,False,False,"group_node,group_process",multi_clause,30
set,groupInertia,281,,group,False,True,False,,data_loaded,0
set,groupNonSync,282,,group,False,True,False,,data_loaded,0
set,groupCapacityMargin,283,,group,False,True,False,,data_loaded,0
set,nodeGroupIndicators,284,,group,False,True,False,,data_loaded,0
set,flowGroupIndicators,285,,group,False,True,False,,data_loaded,0
set,nodeGroupDispatch,286,,group,False,True,False,,data_loaded,0
set,nodeGroupDispatch_node,287,,,True,False,False,"group_node,nodeGroupDispatch",simple,55
set,flowAggregator,289,,group,False,True,False,,data_loaded,0
set,group__loss_share_type,290,2,,False,True,False,,data_loaded,0
set,group_loss_share,292,,,True,False,False,group__loss_share_type,simple,58
set,process_unit,293,,process,False,True,False,,data_loaded,0
set,process_connection,295,,process,False,True,False,,data_loaded,0
set,process__ct_method_read,296,2,"{process, ct_method}",False,True,False,,data_loaded,0
set,process__ct_method,297,2,"{process, ct_method}",True,False,False,"ct_method,ct_method_constant,ct_method_regular,process,process__ct_method_read,process_connection,process_unit",joining,281
set,process__startup_method_read,302,2,"{process, startup_method}",False,True,False,,data_loaded,0
set,process__startup_method,303,2,"{process, startup_method}",True,False,False,"process,process__startup_method_read,startup_method,startup_method_no",joining,158
set,process_node_ramp_method,305,3,"{process, node, ramp_method}",False,True,False,,data_loaded,0
set,methods,306,4,,False,False,False,,data_loaded,0
set,process__profile__profile_method,307,3,"{process, profile, profile_method}",False,True,False,,data_loaded,0
set,process__node__profile__profile_method,308,4,"{process, node, profile, profile_method}",False,True,False,,data_loaded,0
set,process_source,309,2,"{process, entity}",False,True,False,,data_loaded,0
set,process_sink,310,2,"{process, entity}",False,True,False,,data_loaded,0
set,process__sink_nonSync_unit,311,2,"{process, node}",False,True,False,,data_loaded,0
set,process_nonSync_connection,313,1,{process},False,True,False,,data_loaded,0
set,node_dc_power_flow,314,,node,False,True,False,,data_loaded,0
set,connection_dc_power_flow,316,,process_connection,False,True,False,,data_loaded,0
set,node_reference_angle,317,,node,False,True,False,,data_loaded,0
set,process_reserve_upDown_node,318,4,,False,True,False,,data_loaded,0
set,process_node_flow_constraint,320,3,"{process, node, constraint}",False,True,False,,data_loaded,0
set,process_capacity_constraint_invested,321,2,"{process, constraint}",False,True,False,,data_loaded,0
set,node_capacity_constraint_invested,322,2,"{node, constraint}",False,True,False,,data_loaded,0
